;identifiant_station;nom_station;station_en_fonctionnement;capacité_de_la_station;nombre_bornettes_libres;nombre_total_vélos_disponibles;vélos_mécaniques_disponibles;vélos_électriques_disponibles;borne_de_paiement_disponible;retour_vélib_possible;actualisation_de_la_donnée;coordonnées;commune;code_insee;departement;localisation
14;6108;Saint-Romain - Cherche-Midi;True;17;16;1;1;0;True;True;2025-06-03 12:54:34+00:00;48.84708159081946, 2.321374788880348;Paris;75056;Paris;19 Rue Saint-Romain, 75006 Paris, France
15;42016;Pierre et Marie Curie - Maurice Thorez;True;27;20;6;4;2;True;True;2025-06-03 12:55:33+00:00;48.81580226360801, 2.376804985105991;Ivry-sur-Seine;94041;Val-De-Marne;1bis Rue Pierre et Marie Curie, 94200 Ivry-sur-Seine, France
16;40011;Bas du Mont-Mesly;True;27;4;23;8;15;True;True;2025-06-03 12:57:11+00:00;48.779035118572, 2.4609763908985;Créteil;94028;Val-De-Marne;9 Rue Edgar Degas, 94000 Créteil, France
17;21010;Silly - Galliéni;True;25;1;23;20;3;True;True;2025-06-03 12:58:28+00:00;48.835583838706, 2.2325500845909;Boulogne-Billancourt;92012;Hauts-de-Seine;93 Rue de Silly, 92100 Boulogne-Billancourt, France
18;32304;Charcot - Benfleet;True;28;26;2;0;2;False;False;2025-06-03 12:55:15+00:00;48.878370277021, 2.440523876268;Romainville;93063;Seine-Saint-Denis;4 Rue Jean Charcot, 93230 Romainville, France
19;25006;Place Nelson Mandela;True;22;21;0;0;0;True;True;2025-06-03 12:55:38+00:00;48.862453313908, 2.1961666225454;Rueil-Malmaison;92063;Hauts-de-Seine;71 Avenue de Fouilleuse, 92500 Rueil-Malmaison, France
20;7003;Square Boucicaut;True;60;30;29;19;10;True;True;2025-06-03 12:57:35+00:00;48.851296433665276, 2.325061820447445;Paris;75056;Paris;5 Rue Velpeau, 75007 Paris, France
21;30002;Jean Rostand - Paul Vaillant Couturier;True;40;28;9;6;3;True;True;2025-06-03 12:58:31+00:00;48.908168131015, 2.4530601033354;Bobigny;93008;Seine-Saint-Denis;1 Promenade Jean Rostand, 93000 Bobigny, France
22;17041;Guersant - Gouvion-Saint-Cyr;True;36;24;11;8;3;True;True;2025-06-03 12:58:13+00:00;48.88287775178599, 2.287667370814871;Paris;75056;Paris;51 Rue Guersant, 75017 Paris, France
23;11025;Froment - Bréguet;True;43;24;17;6;11;True;True;2025-06-03 12:58:54+00:00;48.8570414504784, 2.37289470306807;Paris;75056;Paris;9 Rue Froment, 75011 Paris, France
24;5016;Thouin - Cardinal Lemoine;True;17;14;3;1;2;True;True;2025-06-03 12:56:58+00:00;48.84504716661511, 2.3494647851273465;Paris;75056;Paris;3 Rue Thouin, 75005 Paris, France
25;17026;Jouffroy d'Abbans - Wagram;True;40;36;4;1;3;True;True;2025-06-03 12:56:10+00:00;48.881973298352, 2.301132157445;Paris;75056;Paris;119 Avenue de Wagram, 75017 Paris, France
26;15047;Morillons - Dantzig;True;52;51;1;0;1;True;True;2025-06-03 12:56:14+00:00;48.83310149953933, 2.299380004405976;Paris;75056;Paris;38 bis Rue des Morillons, 75015 Paris, France
27;12109;Mairie du 12ème;True;30;24;5;3;2;True;True;2025-06-03 12:51:30+00:00;48.840855311763, 2.3875549435616;Paris;75056;Paris;212 bis Rue de Charenton, 75012 Paris, France
28;6021;Beaux-Arts - Bonaparte;True;20;3;17;7;10;True;True;2025-06-03 12:54:23+00:00;48.856451985396, 2.3348518833518;Paris;75056;Paris;14 Rue des Beaux-Arts, 75006 Paris, France
29;2022;Saint-Fiacre - Poissonière;True;35;17;17;12;5;True;True;2025-06-03 12:57:46+00:00;48.870828911558, 2.3459213599563;Paris;75056;Paris;11 Boulevard Poissonnière, 75002 Paris, France
30;15202;Bracion - Périphérique;True;30;27;3;1;2;True;True;2025-06-03 12:51:18+00:00;48.826103771275, 2.3004549373748;Paris;75056;Paris;35 Avenue de la Porte Brancion, 75015 Paris, France
31;16138;Saint-Cloud - Hippodrome;True;30;14;15;3;12;True;True;2025-06-03 12:57:57+00:00;48.85772148887421, 2.2549109905958176;Paris;75056;Paris;49 Avenue de Saint-Cloud, 75116 Paris, France
32;8050;Boétie - Ponthieu;True;45;6;39;23;16;True;True;2025-06-03 12:55:57+00:00;48.871417284355, 2.3076787590981;Paris;75056;Paris;42 Rue de Ponthieu, 75008 Paris, France
33;21216;Louis Lejeune - Barbès;True;25;21;4;3;1;True;True;2025-06-03 12:57:03+00:00;48.81807418981508, 2.3267009854316716;Montrouge;92049;Hauts-de-Seine;16 Rue Louis Lejeune, 92120 Montrouge, France
34;13101;Croulebarde - Corvisart;True;34;29;3;2;1;True;True;2025-06-03 12:56:09+00:00;48.830981659316855, 2.3481646925210953;Paris;75056;Paris;56 Rue Corvisart, 75013 Paris, France
35;22207;Rond-point du Dr Albert Schweitzer;True;22;21;1;1;0;True;True;2025-06-03 12:58:32+00:00;48.78980918988166, 2.3143940046429634;Bagneux;92007;Hauts-de-Seine;13 Square Victor Schoelcher, 92220 Bagneux, France
36;14108;Le Brix et Mesmin - Jourdan;True;21;18;3;1;2;True;True;2025-06-03 12:55:20+00:00;48.82234096593411, 2.327861653302471;Paris;75056;Paris;Rue Le Brix et Mesmin, 75014 Paris, France
37;17048;De Toqueville - Terrasse;True;30;28;0;0;0;True;True;2025-06-03 12:56:33+00:00;48.882428, 2.314002;Paris;75056;Paris;12 Rue de Tocqueville, 75017 Paris, France
38;31024;Romainville - Vaillant-Couturier;True;38;37;1;0;1;True;True;2025-06-03 12:51:10+00:00;48.86785, 2.446748;Montreuil;93048;Seine-Saint-Denis;85 Rue de Romainville, 93100 Montreuil, France
39;16118;Michel-Ange - Parent de Rosan;True;26;14;11;6;5;True;True;2025-06-03 12:56:39+00:00;48.840579923690115, 2.2584119439125065;Paris;75056;Paris;91 Rue Michel-Ange, 75016 Paris, France
40;40016;Sarrazins - Saussure;False;22;22;0;0;0;False;False;2025-02-05 10:35:03+00:00;48.769626617432, 2.4717841148376;Créteil;94028;Val-De-Marne;12 Rue Saussure, 94000 Créteil, France
41;2017;Caire - Dussoubs;True;40;31;9;6;3;True;True;2025-06-03 12:58:55+00:00;48.86785342111862, 2.349364310503006;Paris;75056;Paris;40 Rue du Caire, 75002 Paris, France
42;17044;Porte de Saint-Ouen - Bessières;True;42;35;5;3;2;True;True;2025-06-03 12:55:32+00:00;48.89792240854517, 2.32851451022192;Paris;75056;Paris;2 Boulevard Bessières, 75017 Paris, France
43;9008;Tour d'Auvergne - Rodier;True;17;13;3;0;3;True;True;2025-06-03 12:59:00+00:00;48.879161, 2.343698;Paris;75056;Paris;24 Rue Louise-Emilie de la Tour d'Auvergne, 75009 Paris, France
44;19033;Cambrai - Benjamin Constant;True;43;32;10;10;0;True;True;2025-06-03 12:53:26+00:00;48.89594736851349, 2.381133802246315;Paris;75056;Paris;30 Rue de Cambrai, 75019 Paris, France
45;14013;Liard - Amiral Mouchez;True;28;26;1;0;1;True;True;2025-06-03 12:59:01+00:00;48.8214169, 2.342167;Paris;75056;Paris;2 Rue Liard, 75014 Paris, France
46;17025;Chazelles - Courcelles;True;35;32;1;0;1;True;True;2025-06-03 12:57:03+00:00;48.879406604954, 2.3034455627202988;Paris;75056;Paris;1 Rue de Chazelles, 75017 Paris, France
47;15112;Vigée-Lebrun - Anselme Payen;True;24;18;6;1;5;True;True;2025-06-03 12:57:23+00:00;48.838683941628375, 2.3110422492027287;Paris;75056;Paris;12 Rue Élisabeth Vigée-Lebrun, 75015 Paris, France
48;21326;Moulin de Pierre - Abbé Grégoire;True;20;10;10;2;8;True;True;2025-06-03 12:56:32+00:00;48.822036188382, 2.2754641655975;Issy-les-Moulineaux;92040;Hauts-de-Seine;1 Rue du Moulin de Pierre, 92130 Issy-les-Moulineaux, France
49;13030;Italie - Tolbiac;True;21;19;2;2;0;True;True;2025-06-03 12:59:04+00:00;48.82557229464416, 2.3576171323657036;Paris;75056;Paris;69 Avenue d'Italie, 75013 Paris, France
50;20143;Ramponeau - Belleville;True;44;37;6;1;5;True;True;2025-06-03 12:51:27+00:00;48.871031137596, 2.379056852114;Paris;75056;Paris;5 Rue Ramponeau, 75020 Paris, France
51;18111;Félix Ziem - Armand Gauthier;True;25;22;2;0;2;True;True;2025-06-03 12:58:30+00:00;48.88949630486821, 2.333393658804396;Paris;75056;Paris;2 Rue Félix Ziem, 75018 Paris, France
52;43002;Lagny - Victor Basch;True;26;14;11;9;2;True;True;2025-06-03 12:56:22+00:00;48.84884147189881, 2.426325418925233;Vincennes;94080;Val-De-Marne;1 Rue des Laitières, 94300 Vincennes, France
53;9002;Abbeville - Faubourg Poissonnière;True;14;9;4;0;4;True;True;2025-06-03 12:55:13+00:00;48.879223, 2.349147;Paris;75056;Paris;19 Rue d'Abbeville, 75009 Paris, France
54;15068;Général Martial Valin - Pont du Garigliano;True;16;10;5;0;5;True;True;2025-06-03 12:59:02+00:00;48.83823094269141, 2.270506024360657;Paris;75056;Paris;2 Boulevard du Général Martial Valin, 75015 Paris, France
55;9001;Bellefond - Poissonnière;True;17;13;3;0;3;True;True;2025-06-03 12:59:04+00:00;48.87759897050706, 2.348463758826256;Paris;75056;Paris;8 Rue Marie-Éléonore de Bellefond, 75009 Paris, France
56;92002;Théâtre des Amandiers - Palais des sports;True;23;13;10;2;8;True;True;2025-06-03 12:58:56+00:00;48.892648526839, 2.2136941552162;Nanterre;92050;Hauts-de-Seine;Théâtre des Amandiers - Palais des sports, Avenue Pablo Picasso, 92000 Nanterre, France
57;10115;Granges aux Belles;True;27;24;2;1;1;True;True;2025-06-03 12:58:07+00:00;48.8761373390584, 2.3680844979417;Paris;75056;Paris;1 Rue des Ecluses Saint-Martin, 75010 Paris, France
58;31028;Raspail Barbès;True;28;25;3;2;1;True;True;2025-06-03 12:54:42+00:00;48.8529945, 2.4247387;Montreuil;93048;Seine-Saint-Denis;63 Rue Barbès, 93100 Montreuil, France
59;10029;Dunkerque - Rocroy;True;24;20;3;1;2;True;True;2025-06-03 12:53:01+00:00;48.880726, 2.351464;Paris;75056;Paris;39 Rue de Dunkerque, 75010 Paris, France
60;44017;Jules Guesde - Pont du Port à l'Anglais;True;30;5;23;22;1;True;True;2025-06-03 12:58:36+00:00;48.79628807093802, 2.417212128639221;Vitry-sur-Seine;94081;Val-De-Marne;32 Quai Jules Guesde, 94400 Vitry-sur-Seine, France
61;10161;Gare de l'Est - Faubourg-Saint-Martin;True;32;29;2;0;2;True;True;2025-06-03 12:58:53+00:00;48.875642647477, 2.3594588041306;Paris;75056;Paris;129 Rue du Faubourg Saint-Martin, 75010 Paris, France
62;44010;8 Mai 1945 - 10 Juillet 1940;True;30;8;21;18;3;True;True;2025-06-03 12:53:40+00:00;48.784567029674, 2.3979035764933;Vitry-sur-Seine;94081;Val-De-Marne;9 Avenue du 8 Mai 1945, 94400 Vitry-sur-Seine, France
63;12031;Gabriel Lamé;True;36;1;34;33;1;True;True;2025-06-03 12:58:21+00:00;48.8351212784276, 2.385534569621086;Paris;75056;Paris;49 Rue Gabriel Lamé, 75012 Paris, France
64;8103;Artois - Berri;True;23;4;19;7;12;True;True;2025-06-03 12:56:42+00:00;48.87393521240818, 2.3064258322119713;Paris;75056;Paris;28 Rue d'Artois, 75008 Paris, France
65;1001;Quai de l'Horloge - Pont Neuf;True;17;0;15;7;8;True;True;2025-06-03 12:57:38+00:00;48.857058739111, 2.3417982839439;Paris;75056;Paris;41 Quai de l'Horloge, 75001 Paris, France
66;8048;Marceau - Chaillot;True;21;10;9;4;5;True;True;2025-06-03 12:55:36+00:00;48.868834023334, 2.2986030816809;Paris;75056;Paris;43 Avenue Marceau, 75016 Paris, France
67;5022;Boulangers - Cardinal Lemoine;True;20;13;6;5;1;True;True;2025-06-03 12:58:35+00:00;48.8462904, 2.3521495;Paris;75056;Paris;40 Rue des Boulangers, 75005 Paris, France
68;13118;Regnault - Patay;True;63;0;61;59;2;True;True;2025-06-03 12:57:56+00:00;48.82435782216384, 2.377065159380436;Paris;75056;Paris;86 Boulevard du Général Jean Simon, 75013 Paris, France
69;21328;Verger - Colonel Guichard;True;29;28;1;0;1;True;True;2025-06-03 12:57:32+00:00;48.816376985087, 2.2670380088932;Issy-les-Moulineaux;92040;Hauts-de-Seine;90 Promenade du Verger, 92130 Issy-les-Moulineaux, France
70;19027;Serrurier;True;0;0;0;0;0;False;False;2025-05-21 06:48:59+00:00;48.880493403246, 2.398064173758;Paris;75056;Paris;58 Boulevard Sérurier, 75019 Paris, France
71;9038;Douai - Bruxelles;True;27;25;2;0;2;True;True;2025-06-03 12:57:16+00:00;48.88320784122797, 2.3308449949028507;Paris;75056;Paris;50b Rue de Douai, 75009 Paris, France
72;48003;Youri Gagarine - Karl Marx;True;22;14;8;2;6;True;True;2025-06-03 12:51:31+00:00;48.78448485079149, 2.35908430069685;Villejuif;94076;Val-De-Marne;51 Avenue Karl Marx, 94800 Villejuif, France
73;8009;Gare Saint-Lazare - Isly;True;27;21;6;1;5;True;True;2025-06-03 12:54:40+00:00;48.874777677621296, 2.326515804784655;Paris;75056;Paris;1 Rue de l'Isly, 75008 Paris, France
74;16110;Octave Feuillet - Albéric Magnard;True;21;16;5;0;5;True;True;2025-06-03 12:54:23+00:00;48.86106902949534, 2.2730283066630363;Paris;75056;Paris;6 Rue Octave Feuillet, 75016 Paris, France
75;31103;Gare Rosny-Bois-Perrier;True;35;21;12;3;9;True;True;2025-06-03 12:56:25+00:00;48.88115023337061, 2.480436824262142;Rosny-sous-Bois;93064;Seine-Saint-Denis;2 Rue Leon Blum, 93110 Rosny-sous-Bois, France
76;43009;Place Jean-Spire-Lemaître;True;50;46;4;1;3;True;True;2025-06-03 12:57:34+00:00;48.8468428626593, 2.452062070369721;Vincennes;94080;Val-De-Marne;1 Place du Marechal Lyautey, 94300 Vincennes, France
77;17008;Porte Pouchet-Bessières;True;23;18;4;1;3;True;True;2025-06-03 12:58:31+00:00;48.8978765, 2.3230632;Paris;75056;Paris;1 Avenue de la Porte Pouchet, 75017 Paris, France
78;17032;Jean Oestreicher - Porte de Champerret;True;21;17;4;3;1;True;True;2025-06-03 12:55:25+00:00;48.88655580065981, 2.288640439510346;Paris;75056;Paris;12 Rue Jean Oestreicher, 75017 Paris, France
79;5005;Gay Lussac - Saint-Jacques;True;24;13;10;4;6;True;True;2025-06-03 12:55:46+00:00;48.844730256132, 2.3419239448664;Paris;75056;Paris;27 Rue Gay-Lussac, 75005 Paris, France
80;8016;Square Louis XVI;True;29;7;21;19;2;True;True;2025-06-03 12:59:04+00:00;48.87320440102894, 2.323658830743138;Paris;75056;Paris;30 Rue Pasquier, 75008 Paris, France
81;21323;Charlot - Stade Gabriel Voisin;True;31;1;30;30;0;True;True;2025-06-03 12:57:24+00:00;48.827228120536, 2.268122527474;Issy-les-Moulineaux;92040;Hauts-de-Seine;8 Rue Charlot, 92130 Issy-les-Moulineaux, France
82;41303;Gare de Nogent-le-Perreux;True;32;16;15;15;0;True;True;2025-06-03 12:55:04+00:00;48.83842553348809, 2.493693307042122;Nogent-sur-Marne;94052;Val-De-Marne;1 Tunnel de Nogent, 94130 Nogent-sur-Marne, France
83;8053;Place Georges Guillaumin;True;29;11;18;5;13;True;True;2025-06-03 12:58:04+00:00;48.874750203957, 2.301771435326;Paris;75056;Paris;1 Place Georges Guillaumin, 75008 Paris, France
84;13104;Gare d'Austerlitz - Quai Saint-Bernard;True;27;14;13;12;1;True;True;2025-06-03 12:56:21+00:00;48.84369030864, 2.3657163977623;Paris;75056;Paris;109 Quai d'Austerlitz, 75013 Paris, France
85;31706;Château - République;True;26;22;2;1;1;True;True;2025-06-03 12:53:47+00:00;48.862923800596, 2.4155035614967;Bagnolet;93006;Seine-Saint-Denis;21 Avenue de la République, 93170 Bagnolet, France
86;17040;Pereire - Ternes;True;48;41;7;2;5;True;True;2025-06-03 12:58:54+00:00;48.87973954830735, 2.288012132048607;Paris;75056;Paris;227 Boulevard Pereire, 75017 Paris, France
87;19015;Thionville - Ourcq;True;24;19;5;1;4;True;True;2025-06-03 12:56:19+00:00;48.88917613743794, 2.3833653330802917;Paris;75056;Paris;11 Rue de Thionville, 75019 Paris, France
88;7018;Ségur - d'Estrées;True;19;4;14;13;1;True;True;2025-06-03 12:54:30+00:00;48.851419978983, 2.3097044974566;Paris;75056;Paris;8 Avenue de Ségur, 75007 Paris, France
89;17004;Legendre - Clichy;True;40;36;4;4;0;True;True;2025-06-03 12:53:03+00:00;48.88896161855884, 2.322528975094376;Paris;75056;Paris;130 Rue Legendre, 75017 Paris, France
90;9014;Faubourg Montmartre - La Fayette;True;35;16;14;5;9;True;True;2025-06-03 12:56:30+00:00;48.875254549053, 2.3408536612988;Paris;75056;Paris;52 Rue du Faubourg Montmartre, 75009 Paris, France
91;5020;Institut du Monde Arabe - Saint-Germain;True;40;8;32;28;4;True;True;2025-06-03 12:59:00+00:00;48.849063299501, 2.3558086529374;Paris;75056;Paris;2 Rue des Fossés Saint-Bernard, 75005 Paris, France
92;9106;Boudreau - Auber;True;28;4;24;17;7;True;True;2025-06-03 12:58:06+00:00;48.87219, 2.329423;Paris;75056;Paris;5 Rue Boudreau, 75009 Paris, France
93;92007;Pesaro - Préfecture;True;22;8;11;4;7;True;True;2025-06-03 12:57:02+00:00;48.89577046284005, 2.223908342421055;Nanterre;92050;Hauts-de-Seine;78 Rue des Trois Fontanot, 92000 Nanterre, France
94;19105;Ambroise Rendu - Porte Brunet;True;17;17;0;0;0;True;True;2025-06-03 12:55:47+00:00;48.883667, 2.395733;Paris;75056;Paris;2 Avenue Ambroise Rendu, 75019 Paris, France
95;16026;Ranelagh - Mozart;True;8;7;1;0;1;True;True;2025-06-03 12:54:03+00:00;48.8554439, 2.2704418;Paris;75056;Paris;91 Rue du Ranelagh, 75016 Paris, France
96;22409;Henri Barbusse - Stalingrad;True;16;14;1;0;1;True;True;2025-06-03 12:53:42+00:00;48.814183748660554, 2.2872862592339516;Malakoff;92046;Hauts-de-Seine;4 Boulevard Louise Michel, 92240 Malakoff, France
97;26002;Redoute - Les Courtilles;True;40;19;19;18;1;True;True;2025-06-03 12:55:13+00:00;48.929867194519, 2.2836696356535;Asnières-sur-Seine;92004;Hauts-de-Seine;1 Square Chalgrin, 92600 Asnières-sur-Seine, France
98;9022;Rossini - Laffitte;True;33;1;30;20;10;True;True;2025-06-03 12:59:01+00:00;48.87334627510507, 2.337980867701675;Paris;75056;Paris;18 Rue Rossini, 75009 Paris, France
99;16039;Exelmans - Versailles;True;49;34;11;5;6;True;True;2025-06-03 12:57:54+00:00;48.84097491091973, 2.264390252530575;Paris;75056;Paris;25 Boulevard Exelmans, 75016 Paris, France
100;26003;Argenteuil - Voltaire;True;16;3;11;8;3;True;True;2025-06-03 12:55:51+00:00;48.91864865955558, 2.2814112156629562;Asnières-sur-Seine;92004;Hauts-de-Seine;140 Rue du Révérend Père Christian Gilbert, 92600 Asnières-sur-Seine, France
101;11023;Saint-Maur - Roquette;True;46;44;1;0;1;True;True;2025-06-03 12:57:37+00:00;48.858688774062955, 2.383553994571467;Paris;75056;Paris;133 Rue de la Roquette, 75011 Paris, France
102;19003;Quai de la Seine;True;24;21;1;1;0;True;True;2025-06-03 12:54:08+00:00;48.884492238407525, 2.3703941702842717;Paris;75056;Paris;9 Quai de la Seine, 75019 Paris, France
103;11002;Roquette - Thiéré;True;23;11;10;3;7;True;True;2025-06-03 12:58:58+00:00;48.85507930579506, 2.3733686318721463;Paris;75056;Paris;35 Rue de la Roquette, 75011 Paris, France
104;12151;Gare de Lyon - Place Louis Armand;True;60;54;6;4;2;True;True;2025-06-03 12:58:19+00:00;48.845515089794, 2.3726498446286;Paris;75056;Paris;4 Place des Combattants en Afrique du Nord, 75012 Paris, France
105;12111;Claude Decaen - Cannebière;True;45;40;5;4;1;True;True;2025-06-03 12:54:30+00:00;48.83761417037952, 2.397253782195704;Paris;75056;Paris;73 Rue Claude Decaen, 75012 Paris, France
106;9028;Moncey - Blanche;True;17;16;1;1;0;True;True;2025-06-03 12:57:39+00:00;48.88006587474148, 2.3310810327529907;Paris;75056;Paris;1 Rue Moncey, 75009 Paris, France
107;11047;Amelot - Saint-Sébastien;True;30;12;13;9;4;True;True;2025-06-03 12:58:40+00:00;48.861142162761, 2.3677996181077;Paris;75056;Paris;84 Rue Amelot, 75011 Paris, France
108;10107;Gare du Nord - Hôpital Lariboisière;True;49;47;2;0;2;True;True;2025-06-03 12:57:47+00:00;48.881949, 2.352339;Paris;75056;Paris;9 Rue Ambroise Paré, 75010 Paris, France
109;5032;Panthéon - Valette;True;39;20;17;8;9;True;True;2025-06-03 12:58:47+00:00;48.847020571652, 2.3464982619671;Paris;75056;Paris;21 Rue Valette, 75005 Paris, France
110;17043;Belidor - Gouvion-Saint-Cyr;True;39;37;2;1;1;True;True;2025-06-03 12:58:41+00:00;48.88022154052015, 2.2854680567979813;Paris;75056;Paris;11 Rue Bélidor, 75017 Paris, France
111;18107;Chartres - La Charbonnière;True;34;32;2;0;2;True;True;2025-06-03 12:58:06+00:00;48.8847601, 2.3534657;Paris;75056;Paris;26 Rue de Chartres, 75018 Paris, France
112;19026;Place de Rhin et Danube;True;17;15;0;0;0;True;True;2025-06-03 12:52:37+00:00;48.88192765861766, 2.392586767673493;Paris;75056;Paris;52 Rue Miguel Hidalgo, 75019 Paris, France
113;20042;Pyrénées - Emmery;True;40;37;2;0;2;True;True;2025-06-03 12:58:10+00:00;48.872010281270974, 2.392039597034455;Paris;75056;Paris;1 Rue Emmery, 75020 Paris, France
114;45003;11 Novembre 1918 - 8 Mai 1945;True;36;28;8;7;1;True;True;2025-06-03 12:58:13+00:00;48.80889533774377, 2.5382421165704727;Champigny-sur-Marne;94017;Val-De-Marne;6 Avenue du 11 Novembre 1918, 94500 Champigny-sur-Marne, France
115;15067;Desaix - Edgar Faure;True;12;4;7;5;2;True;True;2025-06-03 12:52:27+00:00;48.852804604940296, 2.293077029857222;Paris;75056;Paris;23 Rue Desaix, 75015 Paris, France
116;8034;Berri - Haussmann;True;35;9;25;17;8;True;True;2025-06-03 12:58:33+00:00;48.874746047357135, 2.3082953318953514;Paris;75056;Paris;49 Rue de Berri, 75008 Paris, France
117;17030;Pereire - Rennequin;True;23;18;5;2;3;True;True;2025-06-03 12:58:45+00:00;48.88364782887555, 2.2952447086572647;Paris;75056;Paris;143 Boulevard Pereire, 75017 Paris, France
118;19043;Delphine Seyrig - Général Leclerc;True;53;50;3;0;3;True;True;2025-06-03 12:58:06+00:00;48.893923963057865, 2.39790290594101;Pantin;93055;Seine-Saint-Denis;"7;9;11;13;15 Rue Delphine Seyrig, 75019 Paris, France"
119;6006;Notre-Dame-des-Champs - Stanislas;True;19;18;1;0;1;True;True;2025-06-03 12:58:44+00:00;48.84479928858768, 2.329337755887181;Paris;75056;Paris;41 Rue Notre-Dame des Champs, 75006 Paris, France
120;12128;Pyramide - Ecole du Breuil;True;34;25;9;5;4;True;True;2025-06-03 12:53:13+00:00;48.82237977153955, 2.4586871266365056;Paris;75056;Paris;15 Route de la Pyramide, 75012 Paris, France
121;11027;Saint-Ambroise - Parmentier;True;38;32;4;2;2;True;True;2025-06-03 12:57:28+00:00;48.862147844548, 2.3772348091006;Paris;75056;Paris;19 Rue Saint-Ambroise, 75011 Paris, France
122;31022;Mairie de Montreuil;True;52;44;7;4;3;True;True;2025-06-03 12:59:02+00:00;48.86131452758348, 2.440614402294159;Montreuil;93048;Seine-Saint-Denis;9 Boulevard Rouget de Lisle, 93100 Montreuil, France
123;8010;Liège - Moscou;True;17;9;8;6;2;True;True;2025-06-03 12:54:50+00:00;48.8795431, 2.3264628;Paris;75056;Paris;22 Rue de Liège, 75008 Paris, France
124;10016;Récollets - Square Villemin;True;17;15;1;0;1;True;True;2025-06-03 12:51:39+00:00;48.875034655883944, 2.359801238597928;Paris;75056;Paris;29 Rue des Récollets, 75010 Paris, France
125;46002;Rouget de Lisle;True;35;1;33;16;17;True;True;2025-06-03 12:57:53+00:00;48.764615483395254, 2.4071189761161804;Choisy-le-Roi;94022;Val-De-Marne;5 Galerie-rouget-de-lisle, 94600 Choisy-le-Roi, France
126;14020;Cimetière de Montrouge;True;58;53;4;0;4;True;True;2025-06-03 12:56:37+00:00;48.821466904768, 2.3215785772007;Paris;75056;Paris;15 Avenue de la Porte de Montrouge, 75014 Paris, France
